n,rmse
1,7.777675784587475
2,3.5905227546692986
3,2.4650646062587067
5,2.4493057029616176
10,2.2289976743560063
20,1.9167540802542424
25,1.8764993468760611
30,1.9334564281421842
40,1.9062970000667112
50,1.8486002317706103
80,1.8269597180257702
110,1.793715721299139
140,1.8186497200718301
170,1.8317384243259474
200,1.828627581747833
230,1.8242482544926315
242,1.8231780882899415
